label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
636,2281.5227272727275,1798.9863636363636,220.0,42.85454559326172,140.0,40.5,1.0537145719273002,False,40.669975
637,2292.3076923076924,951.8153846153846,195.0,30.96923065185547,101.0,29.0,0.7614765054087694,False,40.669975
638,2293.4232776617955,921.8131524008351,1916.0,35.501564025878906,141.0,33.0,0.8729182592513735,False,40.669975
639,2294.994117647059,971.2529411764706,170.0,31.058822631835938,360.0,25.0,0.7636794076569753,False,40.669975
640,2295.6423357664235,738.7518248175182,137.0,43.562042236328125,113.0,40.0,1.071110615032374,False,40.669975
641,2296.241610738255,1496.3087248322147,149.0,29.89261817932129,104.0,28.0,0.7350045819541354,False,40.669975
642,2302.964989059081,1685.0842450765865,1828.0,64.24507904052734,1639.0,47.5,1.5796685047634502,False,40.669975
643,2299.4,753.0545454545454,165.0,48.957576751708984,150.0,44.0,1.2037768996350382,False,40.669975
644,2305.8558736426457,1525.19842053307,1013.0,37.74531173706055,135.0,34.0,0.9280878947304244,False,40.669975
645,2293.100386100386,1834.5752895752896,259.0,41.606178283691406,155.0,39.0,1.0230195124650725,False,40.669975
646,2302.775175644028,1552.9297423887588,427.0,40.592506408691406,132.0,38.0,0.9980951827106972,False,40.669975
647,2296.673076923077,1766.5297202797203,572.0,50.42482376098633,196.0,47.0,1.2398538089311055,False,40.669975
648,2303.2404712404714,820.2293832293832,1443.0,44.21413803100586,182.0,41.0,1.0871444530216041,False,40.669975
649,2300.986394557823,861.0884353741496,147.0,41.9727897644043,137.0,39.0,1.0320338154780944,False,40.669975
650,2303.598214285714,981.7857142857143,112.0,35.91964340209961,372.0,24.0,0.8831980632919347,False,40.669975
651,2299.646551724138,1447.7925089179548,3364.0,37.918251037597656,789.0,31.0,0.9323401545201893,False,40.669975
653,2309.1558988764045,780.7626404494382,712.0,46.188201904296875,165.0,43.5,1.1356830582128596,False,40.669975
654,2310.5227817745804,880.9640287769785,417.0,39.00959396362305,140.0,34.0,0.9591742727730624,False,40.669975
655,2312.0142857142855,1025.3857142857144,70.0,31.757143020629883,105.0,25.5,0.7808498235220735,False,40.669975
656,2313.68,1058.72,75.0,34.52000045776367,103.0,30.0,0.8487834137950118,False,40.669975
657,2314.9508196721313,999.3770491803278,61.0,27.901639938354492,78.0,25.0,0.6860500835256941,False,40.669975
659,2320.04181184669,907.3170731707318,287.0,37.88501739501953,123.0,36.0,0.9315230002842031,False,40.669975
660,2320.426086956522,1491.3434782608695,230.0,31.560869216918945,110.0,30.5,0.7760238111540803,False,40.669975
661,2321.9954128440368,958.7614678899082,436.0,29.162843704223633,99.0,26.0,0.7170607678736075,False,40.669975
662,2323.0714285714284,1829.0064935064936,154.0,45.844154357910156,229.0,41.5,1.1272235609052854,False,40.669975
663,2324.809523809524,1505.1746031746031,63.0,37.31745910644531,88.0,39.0,0.9175677843133024,False,40.669975
664,2322.8241758241757,1083.1923076923076,182.0,45.81318664550781,178.0,40.0,1.1264621217308437,False,40.669975
665,2328.0454545454545,1551.7272727272727,66.0,39.54545593261719,116.0,36.0,0.9723501344571392,False,40.669975
666,2333.73417721519,1824.8481012658228,79.0,45.68354415893555,167.0,39.0,1.1232744510800186,False,40.669975
667,2352.9434214037897,1161.3528155858019,3747.0,57.03122329711914,1942.0,46.0,1.4022930405885161,False,40.669975
668,2333.9351535836176,1057.3651877133107,293.0,38.96586990356445,206.0,37.0,0.9580991784373332,False,40.669975
669,2333.323529411765,927.0378151260504,238.0,35.00419998168945,112.0,31.0,0.8606889908351537,False,40.669975
670,2334.468944099379,986.25,644.0,24.25776481628418,76.0,23.0,0.596453886406932,False,40.669975
671,2338.7872340425533,1036.0797872340424,188.0,36.54255294799805,127.0,34.0,0.8985142650254798,False,40.669975
672,2336.0883882149046,1464.1490467937608,577.0,27.47660255432129,100.0,25.0,0.6755991948517032,False,40.669975
673,2340.516129032258,961.1935483870968,279.0,28.84587860107422,90.0,27.0,0.7092671781071699,False,40.669975
674,2339.6619718309857,1539.7464788732395,71.0,39.95774459838867,153.0,36.0,0.9824875555626424,False,40.669975
675,2340.6447978793904,831.3127899271041,1509.0,44.20676040649414,216.0,40.0,1.0869630507841848,False,40.669975
676,2341.301886792453,1524.0566037735848,106.0,37.39622497558594,119.0,32.5,0.9195044923785736,False,40.669975
